"weekly","segment","name","exchange","expiry","instrument_type","asset_symbol","underlying_symbol","instrument_key","lot_size","freeze_quantity","exchange_token","minimum_lot","asset_key","underlying_key","tick_size","asset_type","underlying_type","trading_symbol","strike_price","qty_multiplier"
false,"NSE_FO","NIFTY","NSE",1830018599000,"PE","NIFTY","NIFTY","NSE_FO|53611",75,1800.0,"53611",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 20000 PE 28 DEC 27",20000.0,1.0
false,"NSE_FO","NIFTY","NSE",1830018599000,"CE","NIFTY","NIFTY","NSE_FO|53613",75,1800.0,"53613",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 21000 CE 28 DEC 27",21000.0,1.0
false,"NSE_FO","NIFTY","NSE",1830018599000,"CE","NIFTY","NIFTY","NSE_FO|53616",75,1800.0,"53616",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 22000 CE 28 DEC 27",22000.0,1.0
false,"NSE_FO","NIFTY","NSE",1830018599000,"PE","NIFTY","NIFTY","NSE_FO|53615",75,1800.0,"53615",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 21000 PE 28 DEC 27",21000.0,1.0
false,"NSE_FO","NIFTY","NSE",1830018599000,"CE","NIFTY","NIFTY","NSE_FO|53618",75,1800.0,"53618",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 23000 CE 28 DEC 27",23000.0,1.0
false,"NSE_FO","NIFTY","NSE",1830018599000,"PE","NIFTY","NIFTY","NSE_FO|53617",75,1800.0,"53617",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 22000 PE 28 DEC 27",22000.0,1.0
false,"NSE_FO","NIFTY","NSE",1830018599000,"PE","NIFTY","NIFTY","NSE_FO|53619",75,1800.0,"53619",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 23000 PE 28 DEC 27",23000.0,1.0
false,"NSE_FO","NIFTY","NSE",1830018599000,"PE","NIFTY","NIFTY","NSE_FO|53630",75,1800.0,"53630",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 26000 PE 28 DEC 27",26000.0,1.0
false,"NSE_FO","NIFTY","NSE",1830018599000,"PE","NIFTY","NIFTY","NSE_FO|53632",75,1800.0,"53632",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27000 PE 28 DEC 27",27000.0,1.0
false,"NSE_FO","NIFTY","NSE",1830018599000,"CE","NIFTY","NIFTY","NSE_FO|53631",75,1800.0,"53631",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27000 CE 28 DEC 27",27000.0,1.0
false,"NSE_FO","NIFTY","NSE",1830018599000,"CE","NIFTY","NIFTY","NSE_FO|53633",75,1800.0,"53633",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 28000 CE 28 DEC 27",28000.0,1.0
false,"NSE_FO","NIFTY","NSE",1830018599000,"PE","NIFTY","NIFTY","NSE_FO|53635",75,1800.0,"53635",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 28000 PE 28 DEC 27",28000.0,1.0
false,"NSE_FO","NIFTY","NSE",1830018599000,"PE","NIFTY","NIFTY","NSE_FO|53595",75,1800.0,"53595",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 15000 PE 28 DEC 27",15000.0,1.0
false,"NSE_FO","NIFTY","NSE",1764095399000,"CE","NIFTY","NIFTY","NSE_FO|53250",75,1800.0,"53250",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27150 CE 25 NOV 25",27150.0,1.0
false,"NSE_FO","NIFTY","NSE",1764095399000,"PE","NIFTY","NIFTY","NSE_FO|53251",75,1800.0,"53251",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27150 PE 25 NOV 25",27150.0,1.0
